id	source_phrase	prompt	1_gemini-pro-dev-api	2_claude-2.1	3_command-r	4_gpt-3.5-turbo-0613	5_llama-2-70b-chat	6_mistral-medium	7_qwen1.5-72b-chat	8_vicuna-33b
1	mangez-vous normalement ?	Simplifie la phrase en gardant le même sens. Phrase à simplifier : mangez-vous normalement ?	Mangez-vous habituellement ?	Mangez-vous habituellement ?	Mangez comme d'habitude ?	Mangez-vous de manière habituelle ?	Mangez-vous comme d'habitude ?	Mangez-vous normalement ?	Avez-vous une alimentation normale ?	Mangez-vous bien ?
2	avez-vous toujours mal au même endroit ?	Simplifie la phrase en gardant le même sens. Phrase à simplifier : avez-vous toujours mal au même endroit ?	Votre douleur est-elle toujours localisée au même endroit ?	La douleur est-elle toujours au même endroit ?	Est-ce que la douleur persiste au même endroit ?	As-tu toujours mal au même endroit ?	Avez-vous toujours mal au même lieu ?	Votre douleur est-elle toujours au même endroit ?	Est-ce que le mal de tête persiste au même endroit ?	Avez-vous mal souvent au même endroit ?
3	avez-vous eu un bleu ?	Simplifie la phrase en gardant le même sens. Phrase à simplifier : avez-vous eu un bleu ?	Vous êtes-vous fait un bleu ?	Vous êtes-vous fait mal ?	Avez-vous eu une bosse ?	Avez-vous eu une contusion ?	Avez-vous eu mal ?	Avez-vous eu une contusion ?	Avez-vous été blessé(e) ?	As-tu eu un coup ?
4	la douleur au ventre est-elle intermittente ?	Simplifie la phrase en gardant le même sens. Phrase à simplifier : la douleur au ventre est-elle intermittente ?	Le mal de ventre est-il intermittent ?	Est-ce que la douleur au ventre vient et repart ?	Est-ce que la douleur au ventre vient et s'en va ?	La douleur au ventre est-elle parfois présente et parfois absente ?	La douleur au ventre est-elle temporaire ?	La douleur à l'estomac est-elle irrégulière ?	Est-elle la douleur au ventre intermittente ?	Est-ce que la douleur au ventre est intermittente ?
5	pouvez-vous me montrer avec le doigt où est la douleur ?	Simplifie la phrase en gardant le même sens. Phrase à simplifier : pouvez-vous me montrer avec le doigt où est la douleur ?	Où est la douleur ? Montrez-moi.	Où avez-vous mal ? Montrez-moi avec le doigt.	Montrez-moi avec votre doigt où vous avez mal.	Pouvez-vous me montrer où est la douleur avec votre doigt ?	Pouvez-vous me montrer où est la douleur ?	Peux-tu montrer du doigt l'endroit qui te fait mal ?	Pouvez-vous indiquer où est la douleur en me désignant le lieu avec votre doigt ?	Pouvez-vous indiquer avec le doigt où est la douleur ?
6	êtes-vous en bonne santé ?	Simplifie la phrase en gardant le même sens. Phrase à simplifier : êtes-vous en bonne santé ?	Ça va ?	Êtes-vous en forme ?	Êtes-vous en forme ?	Êtes-vous en forme ?	Comment allez-vous ?	Allez-vous bien ?	êtes-vous en bonne santé ?	Es-tu en bonne santé ?
7	avez-vous de l'asthme ?	Simplifie la phrase en gardant le même sens. Phrase à simplifier : avez-vous de l'asthme ?	Souffrez-vous d'asthme ?	Êtes-vous asthmatique ?	Souffrez-vous d'asthme ?	As-tu de l'asthme ?	Do you have asthma?	Avez-vous de l'asthme ?	As-tu de l'asthme ?	As-tu de l'asthme ?
8	avez-vous bu de l'alcool ?	Simplifie la phrase en gardant le même sens. Phrase à simplifier : avez-vous bu de l'alcool ?	Avez-vous consommé de l'alcool ?	Avez-vous consommé de l'alcool ?	Buvez-vous de l'alcool ?	Avez-vous consommé de l'alcool ?	Have you drunk alcohol?	Vous avez bu de l'alcool ?	As-tu bu de l'alcool ?	As-tu bu de l'alcool ?
9	quand vous urinez, est-ce que ça brûle ?	Simplifie la phrase en gardant le même sens. Phrase à simplifier : quand vous urinez, est-ce que ça brûle ?	Avez-vous des brûlures en urinant ?	Avez-vous une sensation de brûlure en urinant ?	Est-ce que ça vous brûle quand vous urinez ?	Est-ce que ça brûle quand vous urinez ?	Does peeing burn?	Est-ce que ça brûle quand vous urinez ?	Est-ce que vous ressentez de la brûlure lors de la miction ?	Est-ce que ça brûle quand vous urinez ?
10	la douleur à la tête est-elle constante ?	Simplifie la phrase en gardant le même sens. Phrase à simplifier : la douleur à la tête est-elle constante ?	Est-ce que le mal de tête est continu ?	As-tu mal à la tête tout le temps ?	Est-ce que la douleur à la tête persiste ?	La douleur à la tête est-elle continue ?	La tête vous fait-elle mal tout le temps ?	La douleur à la tête est-elle continue ?	Est-ce que la douleur à la tête est constante ?	Est-ce que la douleur à la tête est constante ?
11	la douleur au ventre augmente-t-elle après avoir mangé ?	Simplifie la phrase en gardant le même sens. Phrase à simplifier : la douleur au ventre augmente-t-elle après avoir mangé ?	Le mal de ventre s'aggrave-t-il après les repas ?	Avoir mal au ventre après manger ?	Est-ce que ma douleur à l'estomac empire après avoir mangé ?	La douleur au ventre augmente-t-elle après le repas ?	Does belly pain get worse after eating?	Est-ce que la douleur à l'estomac s'aggrave après les repas ?	Est-ce que la douleur au ventre s'aggrave après avoir mangé ?	La douleur au ventre s'aggrave-t-elle après manger ?
12	vos maux de tête sont-ils causés par le bruit ?	Simplifie la phrase en gardant le même sens. Phrase à simplifier : vos maux de tête sont-ils causés par le bruit ?	Le bruit provoque-t-il vos maux de tête ?	Avez-vous mal à la tête à cause du bruit ?	Le bruit cause-t-il vos maux de tête ?	Le bruit cause-t-il vos maux de tête ?	Les maux de tête sont-ils causés par le bruit ?	Est-ce que le bruit donne mal à votre tête ?	Est-ce que le bruit cause vos maux de tête ?	Est-ce le bruit qui cause tes migraines ?
13	en quelle année êtes-vous arrivé en Suisse ?	Simplifie la phrase en gardant le même sens. Phrase à simplifier : en quelle année êtes-vous arrivé en Suisse ?	Quand êtes-vous arrivé en Suisse ?	Quelle année êtes-vous arrivé en Suisse ?	Quand êtes-vous venu en Suisse ?	Quand êtes-vous arrivé en Suisse ?	Quelle année avez-vous arrivé en Suisse ?	Depuis quelle année êtes-vous en Suisse ?	Quel année êtes-vous venu en Suisse ?	Dans quelle année êtes-vous venu en Suisse ?
14	la douleur est-elle liée à une activité sexuelle ?	Simplifie la phrase en gardant le même sens. Phrase à simplifier : la douleur est-elle liée à une activité sexuelle ?	La douleur est-elle causée par le sexe ?	Avez-vous ressenti de la douleur pendant les rapports intimes ?	Est-ce que faire l'amour fait mal ?	La douleur est-elle liée au sexe ?	Est-ce que la douleur est causée par une activité sexuelle ?	Est-ce que la douleur est causée par une activité sexuelle ?	Est-ce que la douleur est liée à l'activité sexuelle ?	Est-ce que la douleur est due à une activité sexuelle ?
15	avez-vous des problèmes d'incontinence urinaire ?	Simplifie la phrase en gardant le même sens. Phrase à simplifier : avez-vous des problèmes d'incontinence urinaire ?	Avez-vous des fuites urinaires ?	Avez-vous des fuites urinaires ?	Souffrez-vous d'incontinence urinaire ?	Avez-vous des problèmes d'incontinence urinaire ?	Avez-vous des problèmes de vessie ?	Avez-vous des problèmes de fuite d'urine ?	Souffrez-vous d'incontinence urinaire ?	As-tu des problèmes pour contrôler tes urines ?
16	avez-vous voyagé récemment ?	Simplifie la phrase en gardant le même sens. Phrase à simplifier : avez-vous voyagé récemment ?	Avez-vous voyagé dernièrement ?	Avez-vous voyagé dernièrement ?	Avez-vous fait du voyage récemment ?	Avez-vous récemment voyagé ?	Avez-vous voyagé ces derniers temps ?	Avez-vous fait un voyage récemment ?	Avez-vous voyagez récemment ?	As-tu voyagé récemment ?
17	vous a-t-on déjà fait une gastroscopie ?	Simplifie la phrase en gardant le même sens. Phrase à simplifier : vous a-t-on déjà fait une gastroscopie ?	Avez-vous déjà subi une gastroscopie ?	Vous a-t-on déjà examiné l'estomac avec un tube et une caméra ?	Avez-vous déjà subi un examen gastroscopique ?	Avez-vous déjà subi une gastroscopie ?	Avez-vous déjà subi une gastroscopie ?	As-tu déjà eu une gastroscopie ?	Avez-vous déjà subi une gastroscopie ?	As-tu déjà eu une gastroscopie ?
18	avez-vous fait un malaise ?	Simplifie la phrase en gardant le même sens. Phrase à simplifier : avez-vous fait un malaise ?	Vous êtes-vous évanoui ?	Vous êtes-vous senti mal ?	Êtes-vous mal ?	Avez-vous eu un malaise ?	Vous avez eu un malaise ?	Vous êtes-vous évanoui(e) ?	As-tu eu un malaise ?	As-tu eu un malaise ?
19	êtes-vous stressé ?	Simplifie la phrase en gardant le même sens. Phrase à simplifier : êtes-vous stressé ?	Vous stressez ?	Vous stressez ?	Stressez-vous ?	Êtes-vous anxieux ?	Are you stressed?	Avez-vous du stress ?	Est-ce que vous êtes stressé ?	Es-tu stressé ?
20	devez-vous cracher quand vous toussez ?	Simplifie la phrase en gardant le même sens. Phrase à simplifier : devez-vous cracher quand vous toussez ?	Faut-il cracher en toussant ?	Faut-il cracher si vous toussez ?	Toussez-vous le besoin de cracher ?	Faut-il cracher quand on tousse ?	Do you spit when you cough?	Faut-il cracher en toussant ?	Est-ce que vous devez cracher lorsque vous toussez ?	Doit-on cracher lorsqu'on tousse ?
21	êtes-vous étudiant ?	Simplifie la phrase en gardant le même sens. Phrase à simplifier : êtes-vous étudiant ?	Tu étudies ?	Êtes-vous étudiant ?	Voulez-vous étudier ?	Êtes-vous un étudiant ?	Are you a student?	Êtes-vous étudiant ?	Êtes-vous étudiant(e) ?	Es-tu étudiant ?
22	avez-vous des brûlures d'estomac ?	Simplifie la phrase en gardant le même sens. Phrase à simplifier : avez-vous des brûlures d'estomac ?	Souffrez-vous de brûlures d'estomac ?	Avez-vous des brûlures à l'estomac ?	Avez-vous des problèmes d'estomac ?	Avez-vous des brûlures d'estomac ?	Vous avez des brûlures ?	Souffrez-vous de brûlures d'estomac ?	Avez-vous des brûlures d'estomac ?	As-tu des brûlures d'estomac ?
